traffic_source,cart_value_band,abandoned_carts,customers_with_abandoned_carts,abandoned_cart_value,recovered_carts,recovered_value_proxy,unrecovered_value_opportunity,cart_recovery_rate,avg_recovered_cart_value,avg_hours_to_recovery
referral,$100-$199,368,364,54122.36000000002,21,3005.5399999999995,51116.82000000002,5.71,143.12,32.0
email,$100-$199,341,338,52355.44000000001,18,2801.55,49553.88999999999,5.28,155.64,81.0
paid,$100-$199,338,337,51366.979999999974,18,2684.4800000000005,48682.499999999985,5.33,149.14,
direct,$100-$199,331,329,50022.15999999998,23,3487.3099999999995,46534.84999999998,6.95,151.62,22.0
organic,$100-$199,304,299,47031.659999999974,14,2048.8900000000003,44982.76999999999,4.61,146.35,122.66666666666667
social,$100-$199,303,298,45434.07,14,2220.52,43213.549999999996,4.62,158.61,
email,$200-$499,149,149,37360.58999999999,12,2948.1,34412.490000000005,8.05,245.68,54.0
referral,$200-$499,137,136,34476.47999999999,7,1779.81,32696.670000000002,5.11,254.26,90.0
paid,$200-$499,136,136,34054.92000000001,6,1513.8000000000002,32541.120000000014,4.41,252.3,111.0
direct,$200-$499,124,124,30659.219999999994,5,1235.4299999999998,29423.789999999997,4.03,247.09,
social,$200-$499,120,120,29815.469999999994,4,1068.24,28747.229999999996,3.33,267.06,165.0
direct,$50-$99,396,391,29657.280000000006,17,1272.7500000000002,28384.53,4.29,74.87,108.0
email,$50-$99,395,389,29668.519999999993,21,1599.07,28069.44999999999,5.32,76.15,141.5
paid,$50-$99,387,385,28914.290000000005,19,1461.0900000000001,27453.200000000008,4.91,76.9,85.0
referral,$50-$99,378,374,28793.020000000004,20,1613.3399999999995,27179.680000000008,5.29,80.67,90.0
organic,$200-$499,112,112,27836.460000000003,5,1174.47,26661.990000000005,4.46,234.89,150.0
social,$50-$99,336,334,25128.379999999994,14,1040.52,24087.859999999997,4.17,74.32,62.0
organic,$50-$99,336,331,24839.969999999998,17,1238.44,23601.530000000006,5.06,72.85,98.0
direct,<$50,286,282,9131.67,15,419.6400000000001,8712.029999999999,5.24,27.98,72.0
email,<$50,264,263,8580.329999999998,11,356.67999999999995,8223.649999999996,4.17,32.43,82.0
social,<$50,265,263,8488.859999999997,11,340.67,8148.189999999995,4.15,30.97,34.0
referral,<$50,257,254,8475.939999999999,16,575.88,7900.06,6.23,35.99,152.0
paid,<$50,251,250,7834.249999999996,10,332.55999999999995,7501.689999999997,3.98,33.26,129.0
organic,<$50,244,243,7665.970000000001,10,337.69999999999993,7328.27,4.1,33.77,
